Rev	Rev. Start	Perigee	Perig.IJD	Exit.IJD	Entrance.IJD	Exit	Entrance
1945	2018-04-22	08:40:52	6686.3617	6686.5015	6688.8738	48546	50509
1944	2018-04-19	16:53:09	6683.7036	6683.8220	6686.1992	43290	53720
1943	2018-04-17	01:02:14	6681.0432	6681.1412	6683.6079	37797	37201
1942	2018-04-14	09:12:58	6678.3840	6678.5135	6680.9069	45992	47702
1941	2018-04-11	17:23:07	6675.7244	6675.8518	6678.2328	45317	51058
1940	2018-04-09	01:34:59	6673.0660	6673.1542	6675.6207	35158	39389
1939	2018-04-06	09:46:01	6670.4070	6670.5281	6672.9227	43881	49151
1938	2018-04-03	17:56:47	6667.7478	6667.8758	6670.2793	45529	45361
1937	2018-04-01	02:07:42	6665.0887	6665.1826	6667.6465	36577	38634
1936	2018-03-29	10:19:07	6662.4299	6662.5618	6664.9267	46329	53504
1935	2018-03-26	18:30:10	6659.7710	6659.9016	6662.2598	46105	55308
1934	2018-03-24	02:40:35	6657.1115	6657.2064	6659.6710	36878	38276
1933	2018-03-21	10:50:41	6654.4519	6654.5887	6656.9076	47644	62429
1932	2018-03-18	19:00:41	6651.7921	6651.9276	6654.3055	47267	49822
1931	2018-03-16	03:11:30	6649.1330	6649.2242	6651.6425	35869	50535
1930	2018-03-13	11:22:28	6646.4739	6646.5999	6648.8827	44856	71147
1929	2018-03-10	19:33:56	6643.8152	6643.9322	6646.3015	42613	55669
1928	2018-03-08	03:45:01	6641.1563	6641.2499	6643.7078	36464	40151
1927	2018-03-05	11:56:51	6638.4978	6638.6184	6641.0152	43430	48507
1926	2018-03-02	20:07:21	6635.8384	6635.9719	6638.3770	46650	43629
1925	2018-02-28	04:20:00	6633.1806	6633.2819	6635.7307	38583	40172
1924	2018-02-25	12:29:40	6630.5206	6630.6560	6633.0320	47111	50195
1923	2018-02-22	20:39:39	6627.8609	6627.9876	6630.3131	45029	63020
1922	2018-02-20	04:49:30	6625.2011	6625.3169	6627.6820	42295	57036
1921	2018-02-17	12:59:53	6622.5416	6622.6662	6624.9562	44421	70092
1920	2018-02-14	21:11:52	6619.8832	6620.0051	6622.3349	43904	62755
1919	2018-02-12	05:22:14	6617.2238	6617.3222	6619.7907	37791	35967
1918	2018-02-09	13:33:03	6614.5646	6614.6950	6617.0793	45920	49187
1917	2018-02-06	21:43:56	6611.9055	6612.0416	6614.4323	47263	46311
1916	2018-02-04	05:55:31	6609.2469	6609.3493	6611.8036	38813	38621
1915	2018-02-01	14:07:22	6606.5885	6606.7260	6609.0999	47539	49756
1914	2018-01-29	22:18:40	6603.9296	6604.0577	6606.4560	45362	46456
1913	2018-01-27	06:27:13	6601.2689	6601.3757	6603.8334	39983	37136
1912	2018-01-24	14:36:34	6598.6087	6598.7626	6601.0796	51365	59196
1911	2018-01-21	22:47:40	6595.9498	6596.1454	6598.3826	60526	66623
1910	2018-01-19	06:58:31	6593.2906	6593.3891	6595.8456	37789	39134
1909	2018-01-16	15:08:42	6590.6310	6590.7814	6593.1133	50557	56542
1908	2018-01-13	23:19:02	6587.9716	6588.0873	6590.4821	42266	50324
1907	2018-01-11	07:30:51	6585.3131	6585.4276	6587.8821	41991	35210
1906	2018-01-08	15:41:15	6582.6537	6582.7670	6585.1586	41587	51497
1905	2018-01-05	23:52:26	6579.9948	6580.1387	6582.5151	49144	47819
1904	2018-01-03	08:03:06	6577.3355	6577.4517	6579.8914	42436	38958
1903	2017-12-31	16:12:15	6574.6752	6574.8193	6577.1599	49226	56216
1902	2017-12-29	00:20:22	6572.0142	6572.1854	6574.5443	55251	45978
1901	2017-12-26	08:30:48	6569.3547	6569.4678	6571.9091	41690	39566
1900	2017-12-23	16:39:54	6566.6944	6566.8517	6569.2013	52229	51164
1899	2017-12-21	00:50:27	6564.0350	6564.2661	6566.5576	67480	47288
1898	2017-12-18	09:00:34	6561.3754	6561.6271	6563.9197	71302	42013
1897	2017-12-15	17:10:16	6558.7155	6558.8872	6561.1805	55366	60225
1896	2017-12-13	01:20:19	6556.0558	6556.2625	6558.5853	62671	45758
1895	2017-12-10	09:30:27	6553.3962	6553.6430	6555.9629	70302	36153
1894	2017-12-07	17:41:33	6550.7372	6551.0238	6553.2395	77400	51983
1893	2017-12-05	01:50:10	6548.0765	6548.2583	6550.5957	57545	48369
1892	2017-12-02	09:58:05	6545.4153	6545.5496	6548.0041	46660	30477
1891	2017-11-29	18:07:23	6542.7551	6542.9520	6545.2686	60579	49780
1890	2017-11-27	02:16:49	6540.0950	6540.2800	6542.6218	58018	46528
1889	2017-11-24	10:27:27	6537.4357	6537.5650	6539.9963	45483	37769
1888	2017-11-21	18:37:32	6534.7761	6535.0442	6537.2968	74066	47734
1887	2017-11-19	02:46:40	6532.1157	6532.3243	6534.6590	62870	42361
1886	2017-11-16	10:56:27	6529.4559	6529.5682	6532.0183	41130	37346
1885	2017-11-13	19:06:29	6526.7962	6527.0399	6529.3379	69501	42677
1884	2017-11-11	03:17:16	6524.1370	6524.4019	6526.6544	73431	48454
